ID,lemma,glosses,glottocode,reference
1,-ащуб -забé,WIDOWER,ghod1238,gdosaidova2006
2,-ВУ́ЧИ,NOT,ghod1238,gdosaidova2006
3,-ГВАЛА,SUDDENLY,kara1474,kptmagomedovakhalidova2001
4,-К|ЕЛ,WITH,kara1474,kptmagomedovakhalidova2001
5,-КI’Ā,WITH,tind1238,tinmagomedova2003
6,-ЛЪÁРА,IF,ghod1238,gdosaidova2006
7,-ЦАХЪА,HOW,kara1474,kptmagomedovakhalidova2001
8,–ЧĪИДА,IF,bagv1239,kvamagomedova2004
9,́ӢМА,WHO,bagv1239,kvamagomedova2004
10,́ИДА,BE,bagv1239,kvamagomedova2004
11,́ИДА/Б/ЛА–ВАЧIУ/Б/ЛА,ALL,bagv1239,kvamagomedova2004
12,́ИДАХЪВАЙЛА,ALL,bagv1239,kvamagomedova2004
13,́ИЖИН,ADZE,bagv1239,kvamagomedova2004
14,́ИЛ̄Ъ–ГIАМА/́ИЛ̄ЪЕ–ГIАМА,JAW,bagv1239,kvamagomedova2004
15,́ИЛА,MOTHER,bagv1239,kvamagomedova2004
16,́ИЛА,MOTHER,bagv1239,kvamagomedova2004
17,́ИЛА–ИМА,PARENTS,bagv1239,kvamagomedova2004
18,́ИЛАКЬАР,MOTHER-IN-LAW,bagv1239,kvamagomedova2004
19,́ИЛАКЬАР,MOTHER-IN-LAW (OF WOMAN),bagv1239,kvamagomedova2004
20,́ИЛЪИ(–/б/),WE,bagv1239,kvamagomedova2004
21,́ИМĒБИ,ANCESTORS,bagv1239,kvamagomedova2004
22,́ИМА¹,FATHER,bagv1239,kvamagomedova2004
23,́ИМАКЬАР,FATHER-IN-LAW,bagv1239,kvamagomedova2004
24,́ИМАКЬАР,FATHER-IN-LAW (OF WOMAN),bagv1239,kvamagomedova2004
25,́ИНДА,WHEN,bagv1239,kvamagomedova2004
26,́ИНДЖА,WHERE,bagv1239,kvamagomedova2004
27,́ИНДЖИДАЛА,EVERYWHERE,bagv1239,kvamagomedova2004
28,́ИНЛ̄ЪАЦIА,SIXTY,bagv1239,kvamagomedova2004
29,́ИНЧ/А,BASKET,bagv1239,kvamagomedova2004
30,́ИНЩВДАЦI,FIFTY,bagv1239,kvamagomedova2004
31,́ИСА,CHEESE,bagv1239,kvamagomedova2004
32,́ИЧ/О,MARE,bagv1239,kvamagomedova2004
33,́ИЧИ/ЛА,GIVE,bagv1239,kvamagomedova2004
34,́ИЧИ/ЛА,DONATE,bagv1239,kvamagomedova2004
35,́ИЧИ/ЛА,FEED,bagv1239,kvamagomedova2004
36,́ИЧИ/ЛА,SELL,bagv1239,kvamagomedova2004
37,́ИЧИ/ЛА,ALLOW OR PERMIT,bagv1239,kvamagomedova2004
38,́ИЩИ,WE,bagv1239,kvamagomedova2004
39,́УДИ²,THITHER (THERE TO),bagv1239,kvamagomedova2004
40,́УНГЬДИ/ЛА/́УГЬДИ/ЛА,GROAN,bagv1239,kvamagomedova2004
41,́УНГЬЕКIВА,MASTER,bagv1239,kvamagomedova2004
42,́УРГЪИДИ/ЛА,THINK,bagv1239,kvamagomedova2004
43,́ЭIИЛ̄А,WHY,bagv1239,kvamagomedova2004
44,́ЭIИЛАДАЛА,AFTERWARDS,bagv1239,kvamagomedova2004
45,́ЭГЬУ/НА,BE ABLE,bagv1239,kvamagomedova2004
46,́ЭГЬУН,BLACKSMITH,bagv1239,kvamagomedova2004
47,́ЭКВАН,MEAL,bagv1239,kvamagomedova2004
48,́ЭКУ/НА,EAT,bagv1239,kvamagomedova2004
49,́ЭКУКУНА,EAT,bagv1239,kvamagomedova2004
50,́ЭТЕТИ/ЛА,FLY (MOVE THROUGH AIR),bagv1239,kvamagomedova2004
51,́ЭТИЙŌБОДОБ,BIRD,bagv1239,kvamagomedova2004
52,́ЭХЪВА,SPEAR,bagv1239,kvamagomedova2004
53,́ЭХЬУБ,TUBE,bagv1239,kvamagomedova2004
54,́ЭЩДА,WHY,bagv1239,kvamagomedova2004
55,́ЭЩДАЙА,HOW,bagv1239,kvamagomedova2004
56,́ЭЩИ/ЛА²,BRAID (VERB) OR WEAVE (BASKET),bagv1239,kvamagomedova2004
57,̄́ОЧА,CHICKEN,bagv1239,kvamagomedova2004
58,̄́ОЧА,ROOSTER,bagv1239,kvamagomedova2004
59,̄С́ИБАР,WINTER,bagv1239,kvamagomedova2004
60,̄С̄́Е̄СИНИ,IN FRONT OF,bagv1239,kvamagomedova2004
61,̄С̄ÍИБАР,SLICE,bagv1239,kvamagomedova2004
62,̄С̄ÍИКIА,FOOT,bagv1239,kvamagomedova2004
63,̄С̄ÍИНАР,ITCH,bagv1239,kvamagomedova2004
64,̄С̄ÍИНКIИДА/ЙЛА,SPIT,bagv1239,kvamagomedova2004
65,̄С̄ÍИНТIУДА/ЙЛА,PINCH,bagv1239,kvamagomedova2004
66,̄С̄ÍӮС̄IУНИ/ЛА,SUCK,bagv1239,kvamagomedova2004
67,̄С̄ÍУДИ/ЛА,SQUEEZE,bagv1239,kvamagomedova2004
68,̄С̄ÍУНИ/ЛА,SUCK,bagv1239,kvamagomedova2004
69,̄С̄ÍУНЙЛЪРАКЬ,COLLARBONE,bagv1239,kvamagomedova2004
70,̄С̄IĀЙ,RAIN (PRECIPITATION),bagv1239,kvamagomedova2004
71,̄С̄IÁБА/ЙЛА,SQUEEZE,bagv1239,kvamagomedova2004
72,̄С̄IÁЙ/ЛА¹,DRINK,bagv1239,kvamagomedova2004
73,̄С̄IÁЛГЬИДИ/ЛА/̄С̄IĀГЬИДИЛА,LEARN,bagv1239,kvamagomedova2004
74,̄С̄IÁЛГЬИДИ/ЛА/̄С̄IĀГЬИДИЛА,CLEAN (SOMETHING),bagv1239,kvamagomedova2004
75,̄С̄IÁНТIУРА,PLATE,bagv1239,kvamagomedova2004
76,̄С̄IĒВ,GUEST,bagv1239,kvamagomedova2004
77,̄С̄IÉХЪВА–КУᴴЙ,<NA>,bagv1239,kvamagomedova2004
78,̄С̄IАᴴЙ,SALT,bagv1239,kvamagomedova2004
79,̄С̄IАДИРÁБИ,SCALES (MEASURE INSTRUMENT),bagv1239,kvamagomedova2004
80,̄С̄IАЛ,HANDLE,bagv1239,kvamagomedova2004
81,̄С̄IАР̄́ОБОДОБ¹,WINE,bagv1239,kvamagomedova2004
82,̄С̄IАР̄́ОБОДОБ¹,BEVERAGE,bagv1239,kvamagomedova2004
83,̄С̄IВÁРА,STAR,bagv1239,kvamagomedova2004
84,̄С̄IВАЙ,SPARK,bagv1239,kvamagomedova2004
85,̄С̄IЕНÉЛЪ,FEMALE GOAT,bagv1239,kvamagomedova2004
86,̄С̄IЕР²,NAME,bagv1239,kvamagomedova2004
87,̄С̄IЕРКЪВ,LEOPARD,bagv1239,kvamagomedova2004
88,̄С̄IИᴴГЬÁ/Б,SALTY,bagv1239,kvamagomedova2004
89,̄С̄IИКÍУ/Б,SOUR,bagv1239,kvamagomedova2004
90,̄С̄IИР̄С̄ÍИРИДИЛА,SHRIEK,bagv1239,kvamagomedova2004
91,̄С̄IОГЬÓР¹,THIEF,bagv1239,kvamagomedova2004
92,̄С̄IОК,FUR,bagv1239,kvamagomedova2004
93,̄С̄IОК,SKIN,bagv1239,kvamagomedova2004
94,̄С̄IУᴴЙ²,EAGLE,bagv1239,kvamagomedova2004
95,̄С̄IУᴴЙ¹,NAVEL,bagv1239,kvamagomedova2004
96,̄С̄IУᴴКÁЛ,ELBOW,bagv1239,kvamagomedova2004
97,̄СÁЙГЪАТ,GIFT,bagv1239,kvamagomedova2004
98,̄СÉ̄СЕР,BEFORE,bagv1239,kvamagomedova2004
99,̄СÉВЕР,NORTH,bagv1239,kvamagomedova2004
100,̄СÉТКА,NET,bagv1239,kvamagomedova2004
101,̄САГIÁ̄Т,HOUR,bagv1239,kvamagomedova2004
102,̄САГIÁ̄Т,CLOCK,bagv1239,kvamagomedova2004
103,̄САКВ,BULL,bagv1239,kvamagomedova2004
104,̄САМАЛÉТ/САМОЛÓТ,AIRPLANE,bagv1239,kvamagomedova2004
105,̄САП́УН,SOAP,bagv1239,kvamagomedova2004
106,̄СВÁРА/ЙЛА,TURN (SOMETHING),bagv1239,kvamagomedova2004
107,̄СВÁРДИ/ЛА,WALK (TAKE A WALK),bagv1239,kvamagomedova2004
108,̄СВÁРДИ/ЛА,HITCHHIKE,bagv1239,kvamagomedova2004
109,̄СЕᴴТÁ̄БИРБО̄С̄I,SEPTEMBER,bagv1239,kvamagomedova2004
110,̄СЕР̄́ОЛ,DAY BEFORE YESTERDAY,bagv1239,kvamagomedova2004
111,̄СИБÁЕĀР,AUTUMN,bagv1239,kvamagomedova2004
112,̄СИМ,ANGER,bagv1239,kvamagomedova2004
113,̄СИНÁ/ЙЛА,PINCH,bagv1239,kvamagomedova2004
114,̄Ц̄ÍИНИ/ЛА,BITE,bagv1239,kvamagomedova2004
115,ӮᴴЙЛЪА,TALK,tind1238,tinmagomedova2003
116,ӮᴴЛЪОБУЛIИ/ЛЪ’А,BELIEVE,tind1238,tinmagomedova2003
117,Ā́ХЪА/ÁХЪА,THITHER (THERE TO),tind1238,tinmagomedova2003
118,Á̄МА¹,ROOF,bagv1239,kvamagomedova2004
119,Áᴴ̄Л̄ЪА,WOUND,bagv1239,kvamagomedova2004
120,ÁᴴЗИ,SNOW,tind1238,tinmagomedova2003
121,ÀᴴЛЪ/ИЛЪ’А,HEAR,tind1238,tinmagomedova2003
122,ÁᴴЛЪ̅/А,WOUND,tind1238,tinmagomedova2003
123,ÁᴴЧ̅У,SHADE,tind1238,tinmagomedova2003
124,ÁᴴЪАᴴ,NO,tind1238,tinmagomedova2003
125,ÁX̄/Б/УКI/УЛА,LIE DOWN,bagv1239,kvamagomedova2004
126,ÁX̅ТАР,SPIT,tind1238,tinmagomedova2003
127,ÁБДИ/ЛА,BRUSH (TEETH),bagv1239,kvamagomedova2004
128,ÁВГУСТ,AUGUST,ghod1238,gdosaidova2006
129,ÁВГУСТБО̄С̄I,AUGUST,bagv1239,kvamagomedova2004
130,ÀГ’И,HITHER (HERE TO),tind1238,tinmagomedova2003
131,ÁГЬИЛВА,PEOPLE,tind1238,tinmagomedova2003
132,ÁГЬИМ,BEAM,bagv1239,kvamagomedova2004
133,ÁГЬЛО,PEOPLE,bagv1239,kvamagomedova2004
134,ÁГЬУЛУ,PEOPLE,ghod1238,gdosaidova2006
135,ÁЗАЛ,CHISEL,bagv1239,kvamagomedova2004
136,ÁЗАРДА̄Л̄ЪИР,THOUSAND,bagv1239,kvamagomedova2004
137,ÀКВ/ИЛЪ’А,MOW,tind1238,tinmagomedova2003
138,ÁКВĒР,HARVEST OR HARVEST SEASON,bagv1239,kvamagomedova2004
139,ÁКЪО,DISAPPEAR,tind1238,tinmagomedova2003
140,ÁЛIА,BUTTER,tind1238,tinmagomedova2003
141,ÁЛА,SLAB,bagv1239,kvamagomedova2004
142,ÁЛА,STABLE,bagv1239,kvamagomedova2004
143,ÁЛА²,CHIMNEY,tind1238,tinmagomedova2003
144,ÁЛА²,LID (COVER; CAP),tind1238,tinmagomedova2003
145,ÁЛБАСА,FILE (TOOL),tind1238,tinmagomedova2003
146,ÁЛГЬАЛЪĀГЬӢС,FROM HERE,bagv1239,kvamagomedova2004
147,ÁЛГЬАЩДА,OF THIS KIND (SUCH),bagv1239,kvamagomedova2004
148,ÁЛГЬИ/ИНА,HEAR,bagv1239,kvamagomedova2004
149,ÁЛГЬИ/ИНА,LEARN,bagv1239,kvamagomedova2004
150,ÁЛИ,LEAF,tind1238,tinmagomedova2003
151,ÁМАХА,DONKEY,tind1238,tinmagomedova2003
152,ÁМИ,ROOF,tind1238,tinmagomedova2003
153,ÁМРО,VIOLENCE,bagv1239,kvamagomedova2004
154,ÁНАX̄И/ЛА,TALK,bagv1239,kvamagomedova2004
155,ÁНАX̅/ИЛЪ’А,SCOLD,tind1238,tinmagomedova2003
156,ÀНИХЬ’ИЛЪ’А,LISTEN,tind1238,tinmagomedova2003
157,ÁНЛЪЛЪ/А,WOUND,ghod1238,gdosaidova2006
158,ÁНССА,WARM,ghod1238,gdosaidova2006
159,ÁНССАЛЪИР,WARM,ghod1238,gdosaidova2006
160,ÁНЩИДА,SUDDENLY,ghod1238,gdosaidova2006
161,ÁРМИ,ARMY,tind1238,tinmagomedova2003
162,ÁРМИ,ARMY,ghod1238,gdosaidova2006
163,ÁРМИ,ARMY,bagv1239,kvamagomedova2004
164,ÁРСИ,MONEY,ghod1238,gdosaidova2006
165,ÁРСИ,COIN,ghod1238,gdosaidova2006
166,ÁРСИ,SILVER,ghod1238,gdosaidova2006
167,ÁРХИМА,STORM CLOUDS,bagv1239,kvamagomedova2004
168,ÁСА,HOARFROST,tind1238,tinmagomedova2003
169,ÁСИ,MONEY,tind1238,tinmagomedova2003
170,ÁСИ,SILVER,tind1238,tinmagomedova2003
171,ÁТА,MILK,tind1238,tinmagomedova2003
172,ÁТА,MILK,bagv1239,kvamagomedova2004
173,ÁХ/И,GARDEN,ghod1238,gdosaidova2006
174,ÁХIИ,ANXIETY,ghod1238,gdosaidova2006
175,ÁХIИ-ХIУР,NOISE,ghod1238,gdosaidova2006
176,ÁХIИ–ХIУР,NOISE,bagv1239,kvamagomedova2004
177,ÁХИ²,GARDEN,tind1238,tinmagomedova2003
178,ÁХИ¹,GRAPE,tind1238,tinmagomedova2003
179,ÁХТ/У,SPIT,ghod1238,gdosaidova2006
180,ÁХЪИ/ЛА,GRIND,bagv1239,kvamagomedova2004
181,ÁХЪИ/ЛА,BORE,bagv1239,kvamagomedova2004
182,ÁЦ̄И,SIBLING,tind1238,tinmagomedova2003
183,ÁЦ̄И,CHILD (YOUNG HUMAN),tind1238,tinmagomedova2003
184,ÁЧА,LID (COVER; CAP),bagv1239,kvamagomedova2004
185,ÁЧА,LEAF,bagv1239,kvamagomedova2004
186,ÁЧИЛЪАР,HERB,tind1238,tinmagomedova2003
187,ÁШИЛЪАР,BREADTH,tind1238,tinmagomedova2003
188,ÁШТИ/ЛА,LISTEN,bagv1239,kvamagomedova2004
189,ÁЩАX̅/ИЛЪ’А¹,WEAVE,tind1238,tinmagomedova2003
190,ÁЩАР,BEGINNING,bagv1239,kvamagomedova2004
191,ÁЩИ/ЛА,BEGIN OR START,bagv1239,kvamagomedova2004
192,IĒᴴ,WATER,bagv1239,kvamagomedova2004
193,IÉГЬИГЬИ/НА,IRRIGATE,bagv1239,kvamagomedova2004
194,IЕIЕРÁ/Б,SMOOTH,bagv1239,kvamagomedova2004
195,IЕIЕРÁ/Б,THIN (OF HAIR AND THREAD),bagv1239,kvamagomedova2004
196,Ó/Б/МУХЪА,THAT,tind1238,tinmagomedova2003
197,Ó/Б/С̅А,THIS,tind1238,tinmagomedova2003
198,ṒЧА,CHICKEN,tind1238,tinmagomedova2003
199,ÓГЬ/ӢЛЪ’А,CRY,tind1238,tinmagomedova2003
200,ÓСХЪИЛ,CUCUMBER,bagv1239,kvamagomedova2004
201,ÓХТИРО,FILE (TOOL),bagv1239,kvamagomedova2004
202,ÓХТУР,FILE (TOOL),ghod1238,gdosaidova2006
203,ÓЦИX̅АР,CUCUMBER,tind1238,tinmagomedova2003
204,ÓШТА,CHAIR,tind1238,tinmagomedova2003
205,X̄Á/ЙНА¹,SHAVE,bagv1239,kvamagomedova2004
206,X̄ÁБДИ/ЛА¹,BREAK (OF ROPE),bagv1239,kvamagomedova2004
207,X̄ÁДРУ,RAKE,bagv1239,kvamagomedova2004
208,X̄ÉX̄ЛГЬА/ЙЛА,HURRY,bagv1239,kvamagomedova2004
209,X̄АБÁ/ЙЛА,PICK,bagv1239,kvamagomedova2004
210,X̄АБÁР–ЧIАБАР,CONVERSATION,bagv1239,kvamagomedova2004
211,X̄АБX̄ÁДА/ЙЛА,TEAR (SHRED),bagv1239,kvamagomedova2004
212,X̄АМ́ИЗ–ЗЕБ,THURSDAY,bagv1239,kvamagomedova2004
213,X̄ВАᴴЙБУЛЪ́У/Б,DRUNK,bagv1239,kvamagomedova2004
214,X̄ВАX̄ВАН́У/Б,WRINKLED,bagv1239,kvamagomedova2004
215,X̄ЕX̄́У/Б,FAST,bagv1239,kvamagomedova2004
216,X̄ИР́ИЙА/Б,PRECIOUS,bagv1239,kvamagomedova2004
217,X̄ОᴴX̄ÓЛ,BEAK,bagv1239,kvamagomedova2004
218,X̄ОᴴX̄ÓЛ,MOUTH,bagv1239,kvamagomedova2004
219,X̄ОЛ́У/Б,GREY,bagv1239,kvamagomedova2004
220,X̅Ā́ЙЛЪ’А,MIX,tind1238,tinmagomedova2003
221,X̅ÁᴴТIА,POST,tind1238,tinmagomedova2003
222,X̅ÉX̅ИГЬ/ИЛЪ’А,HURRY,tind1238,tinmagomedova2003
223,X̅АБÁР,STORY,tind1238,tinmagomedova2003
224,X̅АЗИ́НА,DEAR,tind1238,tinmagomedova2003
225,X̅ВĀ̀ᴴЙЛЪ’А²,GRIND,tind1238,tinmagomedova2003
226,X̅ВĀ̀ᴴЙЛЪ’А²,SCRAPE,tind1238,tinmagomedova2003
227,X̅ВĀᴴ,FISH,tind1238,tinmagomedova2003
228,X̅ВĀᴴЙ²,WHIRLPOOL,tind1238,tinmagomedova2003
229,X̅ВÁX̅ВАНУ/Б,WRINKLED,tind1238,tinmagomedova2003
230,X̅ВĀР²,PUS,tind1238,tinmagomedova2003
231,X̅ЕX̅У́Б,FAST,tind1238,tinmagomedova2003
232,X̅ЍX̅В/ĀᴴЙЛЪ’А,FILE (SOMETHING),tind1238,tinmagomedova2003
233,X̅ОЛУ́/Б,GREY,tind1238,tinmagomedova2003
234,X̅УБУ́ЧА¹,BAT,tind1238,tinmagomedova2003
235,А'ᴴЧА,STONE,kara1474,kptmagomedovakhalidova2001
236,а'ва,HOUSE,akhv1239,akvmagomedovaabdulayeva2007
237,а'гъаба,NASAL MUCUS (SNOT),akhv1239,akvmagomedovaabdulayeva2007
238,а'гьило,PEOPLE,akhv1239,akvmagomedovaabdulayeva2007
239,а'гьило,CLAN,akhv1239,akvmagomedovaabdulayeva2007
240,а'гьило,FAMILY,akhv1239,akvmagomedovaabdulayeva2007
241,А'ГЬЛУ,FAMILY,kara1474,kptmagomedovakhalidova2001
242,А'ДЙАЛ,BLANKET,kara1474,kptmagomedovakhalidova2001
243,А'ЗАЛ,CHISEL,kara1474,kptmagomedovakhalidova2001
244,а'кĪа,WOMAN,akhv1239,akvmagomedovaabdulayeva2007
245,а'кĪи,WIFE,akhv1239,akvmagomedovaabdulayeva2007
246,а'кĪоло/б/е,FEMALE,akhv1239,akvmagomedovaabdulayeva2007
247,а'къило,MIND,akhv1239,akvmagomedovaabdulayeva2007
248,а'къилолIи,WISE,akhv1239,akvmagomedovaabdulayeva2007
249,а'кьо,WEEK,akhv1239,akvmagomedovaabdulayeva2007
250,а'муру,VIOLENCE,akhv1239,akvmagomedovaabdulayeva2007
251,а'рми,ARMY,akhv1239,akvmagomedovaabdulayeva2007
252,А'РМИ,ARMY,kara1474,kptmagomedovakhalidova2001
253,А'РТА,MILK,kara1474,kptmagomedovakhalidova2001
254,А'СА,HOARFROST,kara1474,kptmagomedovakhalidova2001
255,А'Х/Е,GARDEN,kara1474,kptmagomedovakhalidova2001
256,А'Х|И,ANXIETY,kara1474,kptmagomedovakhalidova2001
257,а'хIи,ANXIETY,akhv1239,akvmagomedovaabdulayeva2007
258,а'хъIи,GARDEN,akhv1239,akvmagomedovaabdulayeva2007
259,А'Ц¯И,UNCLE,kara1474,kptmagomedovakhalidova2001
260,а'ц̄и,CHILD,akhv1239,akvmagomedovaabdulayeva2007
261,а'ц̄и,DOLL,akhv1239,akvmagomedovaabdulayeva2007
262,а'чи,MONEY,akhv1239,akvmagomedovaabdulayeva2007
263,а'чи,COIN,akhv1239,akvmagomedovaabdulayeva2007
264,а'чи,SILVER,akhv1239,akvmagomedovaabdulayeva2007
265,А'Ъ/У¹,SHOULDERBLADE,kara1474,kptmagomedovakhalidova2001
266,А̄Л́АГЬ,GOD,bagv1239,kvamagomedova2004
267,аᴴ'зо,JUG,akhv1239,akvmagomedovaabdulayeva2007
268,аᴴ'къатIе,BELL,akhv1239,akvmagomedovaabdulayeva2007
269,аᴴ'кьIо,TOGETHER,akhv1239,akvmagomedovaabdulayeva2007
270,аᴴ'кьIодада,ALL,akhv1239,akvmagomedovaabdulayeva2007
271,аᴴ'кьIодада,ALL,akhv1239,akvmagomedovaabdulayeva2007
272,аᴴ'кьIос̄е,NEAR,akhv1239,akvmagomedovaabdulayeva2007
273,аᴴ'с̄алъе,WARM,akhv1239,akvmagomedovaabdulayeva2007
274,Аᴴ̄СÁ/Б,WARM,bagv1239,kvamagomedova2004
275,Аᴴ̄СÁ/Б,WARM,bagv1239,kvamagomedova2004
276,АᴴВУ́ХАЛИ,BOIL (OF LIQUID),ghod1238,gdosaidova2006
277,АᴴВУХИ́,BOIL (OF LIQUID),ghod1238,gdosaidova2006
278,АᴴГЬО'/Б,DEAF,kara1474,kptmagomedovakhalidova2001
279,аᴴде',PERSON,akhv1239,akvmagomedovaabdulayeva2007
280,АᴴДУКА'ЛЪА,LISTEN,kara1474,kptmagomedovakhalidova2001
281,АᴴЖ́ИТВ,AXE,bagv1239,kvamagomedova2004
282,аᴴжи',SNOW,akhv1239,akvmagomedovaabdulayeva2007
283,АᴴЖИТ/О',AXE,kara1474,kptmagomedovakhalidova2001
284,аᴴжите',AXE,akhv1239,akvmagomedovaabdulayeva2007
285,АᴴЗ,SNOW,bagv1239,kvamagomedova2004
286,АᴴЗЕ',SNOW,kara1474,kptmagomedovakhalidova2001
287,аᴴкIва',BEAM,akhv1239,akvmagomedovaabdulayeva2007
288,аᴴкIва',HANDLE,akhv1239,akvmagomedovaabdulayeva2007
289,аᴴкъе'же,THIRST,akhv1239,akvmagomedovaabdulayeva2007
290,аᴴкьIакIо̄/рулъIа,SWEAT (PERSPIRE),akhv1239,akvmagomedovaabdulayeva2007
291,аᴴкьIах̄у'/рулъIа,PERSPIRE OR SWEAT,akhv1239,akvmagomedovaabdulayeva2007
292,аᴴкьу',BRUSH,akhv1239,akvmagomedovaabdulayeva2007
293,АᴴЛ¯Ъ¯А',WOUND,kara1474,kptmagomedovakhalidova2001
294,АᴴЛ¯Ъ¯Е,RAM,kara1474,kptmagomedovakhalidova2001
295,АᴴЛЪ/АЛЪА',HEAR,kara1474,kptmagomedovakhalidova2001
296,аᴴлъIо'/нулъIа,ANNOUNCE,akhv1239,akvmagomedovaabdulayeva2007
297,аᴴлъIу'/нулъIа,HEAR,akhv1239,akvmagomedovaabdulayeva2007
298,АᴴЛЪАР,WORD,tind1238,tinmagomedova2003
299,АᴴЛЪЕ'Р,PROMISE,kara1474,kptmagomedovakhalidova2001
300,АᴴЛЪЕ'Р,SPEECH,kara1474,kptmagomedovakhalidova2001
301,АᴴЛЪЕ'Р,WORD,kara1474,kptmagomedovakhalidova2001
302,аᴴлъи,RAM,akhv1239,akvmagomedovaabdulayeva2007
303,АᴴС¯А',WARM,kara1474,kptmagomedovakhalidova2001
304,АᴴС¯А'/Б,WARM,kara1474,kptmagomedovakhalidova2001
305,аᴴс̄а'да/б/е,WARM,akhv1239,akvmagomedovaabdulayeva2007
306,АᴴС̅ÁБ,WARM,tind1238,tinmagomedova2003
307,АᴴС̅ÁБ,WARM,tind1238,tinmagomedova2003
308,АᴴТÁЛIА,YOUNG,tind1238,tinmagomedova2003
309,АᴴХВÁГЬЕКIОЧА,RAT,bagv1239,kvamagomedova2004
310,аᴴхо'нулъIа,BOIL (OF LIQUID),akhv1239,akvmagomedovaabdulayeva2007
311,аᴴху'нулъIа,BOIL (OF LIQUID),akhv1239,akvmagomedovaabdulayeva2007
312,аᴴхуда/б/е,HOT,akhv1239,akvmagomedovaabdulayeva2007
313,АᴴЧ¯У'²,SHADE,kara1474,kptmagomedovakhalidova2001
314,АᴴЧ¯У'¹,LIZARD,kara1474,kptmagomedovakhalidova2001
315,аᴴча'дабе,A LITTLE,akhv1239,akvmagomedovaabdulayeva2007
316,АᴴЩ,ONCE (IN THE PAST),bagv1239,kvamagomedova2004
317,АᴴЩ,AT FIRST,bagv1239,kvamagomedova2004
318,АᴴЩ-АᴴЩ,SOMETIMES,kara1474,kptmagomedovakhalidova2001
319,АᴴЩĀ́ЛА,THEN,tind1238,tinmagomedova2003
320,АᴴЩÁЛ,ONE TIME,tind1238,tinmagomedova2003
321,АᴴЩÁЛ,ONCE (IN THE PAST),tind1238,tinmagomedova2003
322,АᴴЩÁЛЪИ,SOMETIMES,bagv1239,kvamagomedova2004
323,АᴴЩАБИ́,SOMETIMES,tind1238,tinmagomedova2003
324,АᴴЩВ,SHADE,bagv1239,kvamagomedova2004
325,АᴴЩЕЛА,THEN,kara1474,kptmagomedovakhalidova2001
326,АX̄Т́УР,SPIT,bagv1239,kvamagomedova2004
327,ААДУ,SHIT (DEFECATE),andi1255,anisalimov2010
328,АБ,THIS,tind1238,tinmagomedova2003
329,АБ,THIS,bagv1239,kvamagomedova2004
330,АБÁГВАН,SHOULDERBLADE,bagv1239,kvamagomedova2004
331,АБÁГВАН,SHOULDER,bagv1239,kvamagomedova2004
332,АБÁДАЛIИ,NEVER,ghod1238,gdosaidova2006
333,АБÁХАРЛIА,NEIGHBOUR,tind1238,tinmagomedova2003
334,АБÁХВАР,SWELLING,tind1238,tinmagomedova2003
335,АБАДḖЛIА,OLD,tind1238,tinmagomedova2003
336,АБАДИН–АБАД́А̄Л̄ЪИР,NEVER,bagv1239,kvamagomedova2004
337,АБАХОР,SWELLING,andi1255,anisalimov2010
338,АБЖИДУ,BEGIN,andi1255,anisalimov2010
339,АБИ́КI’А,SPOON,tind1238,tinmagomedova2003
340,АБЛЪЛЪИН,SIMILAR,andi1255,anisalimov2010
341,АБО'/Б,WIDE,kara1474,kptmagomedovakhalidova2001
342,АБТÁБУС/У,BUS,ghod1238,gdosaidova2006
343,АБТАМАБИЛ,CAR,andi1255,anisalimov2010
344,АБУ́/Б,FLAT,tind1238,tinmagomedova2003
345,АБУ́КЬЕТIУ,FLAX OR LINEN,tind1238,tinmagomedova2003
346,АБЦӀУННУ,BARKING,andi1255,anisalimov2010
347,АБЧИДУ,WASH,andi1255,anisalimov2010
348,АВÁЛ,HOUSE,tind1238,tinmagomedova2003
349,АВÁЛ,HOUSE,bagv1239,kvamagomedova2004
350,АВАДÁНА/Б,MERRY,ghod1238,gdosaidova2006
351,АВЛÁХЪ/И,PLAIN,ghod1238,gdosaidova2006
352,АВЛА'ХЪ,PLAIN,kara1474,kptmagomedovakhalidova2001
353,АВТ̄́ОБУЗ,BUS,bagv1239,kvamagomedova2004
354,АГ’ÁКЬА,OF THIS KIND (SUCH),tind1238,tinmagomedova2003
355,АГ’Ṓ,FROM HERE,tind1238,tinmagomedova2003
356,АГ’И́,HERE,tind1238,tinmagomedova2003
357,АГЬ,GRAPE,bagv1239,kvamagomedova2004
358,АГЬ,NO,andi1255,anisalimov2010
359,АГЬ́ӢС,WITH,bagv1239,kvamagomedova2004
360,АГЬ́ӢС/Б/ЕЛЪИЛА,FORGIVE,bagv1239,kvamagomedova2004
361,АГЬ́ИКЬИ,DOWN,bagv1239,kvamagomedova2004
362,АГЬÉЦIА/ЙЛА,LIFT,bagv1239,kvamagomedova2004
363,АГЬÉЦIИ/ЛА,CLIMB,bagv1239,kvamagomedova2004
364,АГЬА'ᴴ/ЛЪА,BOIL (OF LIQUID),kara1474,kptmagomedovakhalidova2001
365,АГЬА¯'ᴴ/ЛЪА,BOIL (OF LIQUID),kara1474,kptmagomedovakhalidova2001
366,АГЬИКЬ́ИМАКIВА,GARDEN,bagv1239,kvamagomedova2004
367,АГЬЛУ,CLAN,andi1255,anisalimov2010
368,АГЬМАКЪИ,STUPID,andi1255,anisalimov2010
